Implementation,Model,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,Training Time (s),Prediction Time (s)
Scikit-learn,Linear Regression,0.1072784330291722,0.1437402979105884,0.2885214314434412,,,,,2.0030215000151657,0.0510569000034593
Scikit-learn,Logistic Regression,,,,0.7083333333333334,0.7611940298507462,0.8742857142857143,0.8138297872340425,0.3450220999948215,0.0463690000178758
From Scratch,Linear Regression,0.107278433029172,0.1437402979105884,0.2885214314434412,,,,,0.0042109999922104,0.0002485000004526
From Scratch,Logistic Regression,,,,0.7166666666666667,0.7584541062801933,0.8971428571428571,0.8219895287958117,0.7180995999951847,0.0039166999922599
