Model,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,Training Time (s),Prediction Time (s)
Linear Regression,0.10727843302917223,0.1437402979105884,0.2885214314434412,,,,,2.0030215000151657,0.051056900003459305
Logistic Regression,,,,0.7083333333333334,0.7611940298507462,0.8742857142857143,0.8138297872340425,0.3450220999948215,0.046369000017875805
