Model,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,Training Time (s),Prediction Time (s)
Linear Regression,0.10727843302917202,0.1437402979105884,0.2885214314434412,,,,,0.004210999992210418,0.00024850000045262277
Logistic Regression,,,,0.7166666666666667,0.7584541062801933,0.8971428571428571,0.8219895287958117,0.7180995999951847,0.003916699992259964
